0,000000000E0	1,897608307E-3	2,528210024E-1	0
3,319481429E-2	4,800058449E-3	2,513690137E-1	1,312200615E-1
6,640069722E-2	9,443856491E-3	2,484652807E-1	2,443784198E-1
9,959551151E-2	1,931230915E-2	2,441090701E-1	3,484394096E-1
1,328013944E-1	3,063201743E-2	2,391720031E-1	4,150233456E-1
1,659962087E-1	4,456396139E-2	2,330732839E-1	5,074416528E-1
1,992020916E-1	6,168875322E-2	2,261030661E-1	6,124332854E-1
2,324079746E-1	8,171575083E-2	2,165197573E-1	6,908331990E-1
2,656027889E-1	1,043557172E-1	2,092581031E-1	7,442439772E-1
2,988086718E-1	1,292652976E-1	2,030582993E-1	8,086120325E-1
3,320034861E-1	1,565567151E-1	1,966910857E-1	8,643680176E-1
3,652093690E-1	1,856954860E-1	1,925807791E-1	8,992973103E-1
3,984041833E-1	2,160662000E-1	1,917535525E-1	9,215411871E-1
4,316100662E-1	2,468772905E-1	1,915212981E-1	9,103147003E-1
4,648159491E-1	2,764858864E-1	1,938372712E-1	8,730413784E-1
4,980107634E-1	3,047337783E-1	1,951561590E-1	8,928667323E-1
5,312166464E-1	3,357675278E-1	1,946323966E-1	8,961020242E-1
5,644114607E-1	3,642150136E-1	1,935919475E-1	8,758992143E-1
5,976173436E-1	3,936963081E-1	1,894478949E-1	9,313959642E-1
6,308121579E-1	4,242106495E-1	1,785796220E-1	9,865385835E-1
6,640180408E-1	4,547245555E-1	1,656424251E-1	1,080294186E0
6,972239237E-1	4,893754384E-1	1,485665096E-1	1,205367046E0
7,304187380E-1	5,266122584E-1	1,304555879E-1	1,280900033E0
7,636246209E-1	5,700578095E-1	1,216535174E-1	1,302345175E0
7,968194352E-1	6,129889599E-1	1,262995611E-1	1,258921004E0
8,300253181E-1	6,517840043E-1	1,392221711E-1	1,226747678E0
8,632201324E-1	6,900619265E-1	1,526621210E-1	1,138073067E0
8,964260154E-1	7,236840080E-1	1,624824338E-1	1,050258385E0
9,296318983E-1	7,578226673E-1	1,691992519E-1	1,039546338E0
9,628267126E-1	7,924769248E-1	1,681574966E-1	1,033986444E0
9,960325955E-1	8,260956317E-1	1,619436492E-1	1,063778752E0
1,029227410E0	8,612652696E-1	1,521088585E-1	1,167600039E0
1,062433293E0	8,995372047E-1	1,371011049E-1	1,259137875E0
1,095628107E0	9,398783903E-1	1,236446088E-1	1,284684089E0
1,128833990E0	9,822898060E-1	1,163944489E-1	1,331402396E0
1,162039873E0	1,027805696E0	1,143159457E-1	1,332102692E0
1,195234687E0	1,070736520E0	1,174102964E-1	1,286949181E0
1,228440570E0	1,112633753E0	1,246427126E-1	1,263371415E0
1,261635384E0	1,152979728E0	1,339443793E-1	1,201610939E0
1,294841267E0	1,190222317E0	1,432466991E-1	1,129993746E0
1,328036082E0	1,225396201E0	1,535839163E-1	1,067849258E0
1,361241964E0	1,258500834E0	1,623698760E-1	1,001175559E0
1,394447847E0	1,290053338E0	1,690872384E-1	9,426632606E-1
1,427642662E0	1,320053714E0	1,737360035E-1	9,211000625E-1
1,460837476E0	1,350571212E0	1,778674287E-1	9,211000625E-1
